Hour,Injury Rate,Fatal Rate
0,0.27822311289245155,0.0026720106880427524
1,0.2773333333333333,0.004666666666666667
2,0.30248500428449016,0.001713796058269066
3,0.2874015748031496,0.006889763779527559
4,0.2732732732732733,0.008008008008008008
5,0.26700251889168763,0.005877413937867338
6,0.2561105207226355,0.0021253985122210413
7,0.2511048613901165,0.0016070711128967456
8,0.22658772874058128,0.0013455328310010765
9,0.21052631578947367,0.0008628127696289905
10,0.20906021384355655,0.0019696117051209903
11,0.23074928701063002,0.0010370754472387865
12,0.23311387466471592,0.000487685930260912
13,0.2567177437264046,0.0017765933821896514
14,0.24931020890815925,0.0007883326763894363
15,0.2738019843782985,0.0006333122229259025
16,0.2688375615297236,0.0007572889057175312
17,0.2918650793650794,0.0015873015873015873
18,0.3120537589248215,0.0020999580008399833
19,0.3241106719367589,0.0023715415019762848
20,0.3439649781113196,0.0028142589118198874
21,0.344464609800363,0.0018148820326678765
22,0.3375624759707805,0.0019223375624759708
23,0.33363553943789664,0.004533091568449683
